ap_mac,lat,lon,Количество_торговля_rank,Количество_бытовые_rank,Количество_общепит_rank,Количество_клубы_rank,Количество_медицина_rank,Выручка_торговля_rank,Прибыль_торговля_rank,Выручка_бытовые_rank,Прибыль_бытовые_rank,Выручка_общепит_rank,Прибыль_общепит_rank,Выручка_клубы_rank,Прибыль_клубы_rank,Выручка_медицина_rank,Прибыль_медицина_rank,barbers_rank,spa_rank,shoes_rank,jewelry_rank,foto_rank,riteil_rank,club_rank,med_rank,vet_rank,stomat_rank,alco_rank,shop_rank,crime_rank,danger_rank,houseprise_rank,houseparenda_rank,money_rank,people_rank,traffic_rank,toilet_rank,trash_rank,metro_rank,taxi_rank,auto_rank,light_rank,video_rank,keep_rank,arenda_rank,ЖКХ_ранг,Соседи_ранг,Условия для детей_ранг,Спорт и отдых_ранг,Магазины_ранг,Транспорт_ранг,Безопасность_ранг,Стоимость жизни_ранг,Чистота_ранг,Экология_ранг,Адрес
EC8CA20FEF50,55.74818420410156,37.61052703857422,2581.0,2524.0,2524.0,2524.0,2331.0,2215.0,859.0,2329.0,566.0,759.0,1226.0,1606.0,249.0,503.0,203.0,506.5,988.5,888.0,762.5,632.5,2399.5,2319.5,2050.0,1971.0,2621.0,2089.0,184.0,1335.0,412.5,2208.0,1321.0,324.0,941.0,2560.5,53.0,1973.0,79.5,93.5,1582.0,78.5,993.5,2725.5,1414.0,79.0,18.0,52.0,20.0,111.0,85.0,6.0,42.0,26.0,83.0,"Кремлёвская набережная, 1/9 с9, Москва, Россия"
EC8CA20FEF70,55.74111175537109,37.60873794555664,1041.0,1377.0,1377.0,1377.0,1171.0,1387.0,506.0,1551.0,2164.0,1318.0,1632.0,2429.0,838.0,788.0,1804.0,1814.5,988.5,888.0,762.5,632.5,2092.0,1504.5,2050.0,1971.0,2621.0,1867.0,454.0,2657.0,,2493.0,143.0,1139.0,2711.0,1500.0,53.0,1190.5,1169.0,270.5,1324.0,659.0,969.5,1773.5,1414.0,,,,,,,,,,,"Берсеневская набережная, 8 с1, Москва, Россия"
EC8CA20FEFF0,55.74575805664063,37.62504577636719,1920.0,1977.0,2170.0,1746.0,1874.0,446.0,1889.0,890.0,1171.0,2044.0,808.0,188.0,1288.0,1945.0,1066.0,1470.0,988.5,888.0,762.5,2718.5,2272.5,2784.5,2050.0,1971.0,2169.0,2347.0,581.5,2342.0,1441.5,1607.0,1837.0,664.0,2149.0,2293.0,603.0,1549.0,1649.5,185.5,1025.5,726.5,721.0,1773.5,1414.0,50.0,90.0,102.0,42.0,108.0,73.0,22.0,50.0,40.0,97.0,"улица Большая Ордынка, 1, Москва, Россия"
EC8CA20FF040,55.7418212890625,37.59392929077149,2581.0,2524.0,2524.0,2524.0,2331.0,2215.0,859.0,2329.0,566.0,759.0,1226.0,1606.0,249.0,503.0,203.0,2838.0,988.5,2186.5,2508.0,632.5,2413.5,2593.5,2050.0,1971.0,2169.0,2410.0,1633.5,1335.0,412.5,2208.0,1321.0,324.0,941.0,2732.0,2289.0,89.5,1169.0,121.0,99.5,704.0,42.0,418.5,2131.5,79.0,18.0,52.0,20.0,111.0,85.0,6.0,42.0,26.0,83.0,"Чистый переулок, Москва, Россия"
EC8CA20FF6D0,55.71901321411133,37.60403060913086,1504.0,1125.5,1196.0,969.0,929.0,1790.0,2360.0,1144.0,1594.5,2287.0,2344.5,2239.0,2321.0,1664.0,1626.5,1354.0,988.5,888.0,762.5,1538.0,1398.5,201.0,2050.0,2645.5,1414.5,1235.5,1195.5,962.0,835.5,1260.0,294.0,1645.0,2364.0,2147.0,603.0,1409.5,2083.0,1700.0,1424.5,685.0,1333.0,986.5,700.0,100.0,14.0,15.0,30.0,53.0,9.0,56.0,48.0,85.0,74.0,"Донская улица, 24, Москва, Россия"
EC8CA20FF7C0,55.73041534423828,37.633243560791016,1920.0,1977.0,2170.0,1746.0,1874.0,446.0,1889.0,890.0,1171.0,2044.0,808.0,188.0,1288.0,1945.0,1066.0,2391.5,988.5,888.0,1940.5,2611.0,2125.5,1867.0,1023.0,2645.5,2169.0,2285.0,2171.5,2342.0,1441.5,1607.0,1837.0,664.0,2149.0,1121.0,1312.0,719.0,849.5,677.0,368.0,2058.0,756.5,1773.5,700.0,50.0,90.0,102.0,42.0,108.0,73.0,22.0,50.0,40.0,97.0,"Валовая улица, 11-19 с5, Москва, Россия"
EC8CA20FF800,55.73695373535156,37.61301040649414,1041.0,1377.0,1377.0,1377.0,1171.0,1387.0,506.0,1551.0,2164.0,1318.0,1632.0,2429.0,838.0,788.0,1804.0,1814.5,988.5,888.0,762.5,2036.0,2073.0,1137.0,2050.0,1971.0,1783.5,1898.0,313.5,2657.0,,2493.0,143.0,1139.0,2711.0,2683.0,53.0,1344.0,1169.0,677.0,1403.0,1008.0,721.0,1773.5,1414.0,,,,,,,,,,,"улица Большая Якиманка, 24, Москва, Россия"
EC8CA20FF840,55.74180221557617,37.59391403198242,2581.0,2524.0,2524.0,2524.0,2331.0,2215.0,859.0,2329.0,566.0,759.0,1226.0,1606.0,249.0,503.0,203.0,2838.0,988.5,2186.5,2508.0,632.5,2387.0,2593.5,2050.0,1971.0,2169.0,2410.0,1672.5,1335.0,412.5,2208.0,1321.0,324.0,941.0,2413.0,2289.0,89.5,1169.0,121.0,99.5,720.5,42.0,418.5,2131.5,79.0,18.0,52.0,20.0,111.0,85.0,6.0,42.0,26.0,83.0,"улица Пречистенка, 24/1, Москва, Россия"
EC8CA20FFB60,55.71924591064453,37.59680938720703,1504.0,1125.5,1196.0,969.0,929.0,1790.0,2360.0,1144.0,1594.5,2287.0,2344.5,2239.0,2321.0,1664.0,1626.5,273.0,988.5,888.0,762.5,632.5,790.5,670.0,2050.0,1971.0,1414.5,434.5,208.5,962.0,835.5,1260.0,294.0,1645.0,2364.0,956.0,603.0,2448.5,2529.5,1318.0,1684.5,338.0,2309.0,2725.5,700.0,100.0,14.0,15.0,30.0,53.0,9.0,56.0,48.0,85.0,74.0,"Ленинский проспект, 12, Москва, Россия"
EC8CA20FFBE0,55.74740219116211,37.58834457397461,1213.0,1534.0,1958.0,1534.0,1506.0,967.0,2528.0,622.0,192.0,2475.0,566.0,1000.0,1024.0,1512.0,854.0,2508.5,2341.5,2686.0,1940.5,2373.5,2737.5,2447.5,2685.5,1971.0,1783.5,2729.0,2033.0,2130.0,,2707.0,2416.0,1502.0,2526.0,1448.0,2289.0,182.5,1649.5,439.0,88.0,671.5,142.0,1773.5,2131.5,,,,,,,,,,,"Плотников переулок, 20/21, Москва, Россия"
