Субъект,Количество_торговля,Выручка_торговля,Прибыль_торговля,Количество_бытовые,Выручка_бытовые,Прибыль_бытовые,Количество_общепит,Выручка_общепит,Прибыль_общепит,Количество_клубы,Выручка_клубы,Прибыль_клубы,Количество_медицина,Выручка_медицина,Прибыль_медицина,Население,На 100 тыс. жителей Всего преступлений,"Доходы от НДФл, млн.р."
Хамовники,5553,"142,7","6,29",816,"14,42","2,26",583.0,"35,38","1,6",469,"21,68","7,74",278.0,"69,8","9,32",109451.0,1748.0,"53062,9"
Ховрино,1228,"191,99","5,75",118,"4,08","0,48",81.0,"31,67","1,43",86,"3,08","0,41",68.0,"6,08","1,18",89094.0,1070.0,"3345,8"
Царицыно,1819,"103,32","3,59",97,"2,23","0,07",109.0,"20,07","1,54",59,"8,35","0,38",46.0,"10,86","1,8",129318.0,714.0,
Чертаново Северное,936,"77,69","5,3",119,"4,27","0,29",60.0,"11,49","0,87",42,"4,83","0,2",44.0,"5,04","0,6",114653.0,714.0,
Чертаново Центральное,1104,"71,76","2,81",111,"4,64","0,62",76.0,"16,73","1,96",55,"6,64","0,09",44.0,"7,64","0,86",117308.0,875.0,
Чертаново Южное,1221,"89,59","2,34",82,"1,56","0,16",57.0,"6,33","0,39",37,"1,02","0,16",55.0,"37,41","5,94",151899.0,914.0,
Щукино,1366,"154,12","7,23",207,"4,37","0,24",103.0,"22,16","0,95",92,"6,22","1,59",113.0,"12,23","2,04",111673.0,1696.0,"10398,1"
Южное Бутово,3119,"41,38","1,1",250,"3,62","0,47",162.0,"10,72","0,51",126,"6,84","0,31",141.0,"6,78","0,86",210783.0,768.0,
Южное Медведково,445,"61,06",4,53,"2,1","0,1",33.0,"13,8","0,84",25,"1,46","0,07",17.0,"12,05","1,04",85867.0,745.0,
Южное Тушино,1519,"107,82","3,61",145,"5,19","0,45",79.0,"13,34","1,14",70,"2,67","0,23",59.0,"6,01","0,8",109708.0,979.0,3985
Южнопортовый,1420,"73,79","3,61",129,"12,21","1,1",94.0,"12,51","0,89",86,"9,04","1,08",71.0,"14,2","2,14",74841.0,1585.0,"5327,3"
Якиманка,1942,"215,12","8,06",313,"3,97","0,43",248.0,"30,73","1,21",173,"11,5","3,13",125.0,"65,07","2,85",27911.0,3810.0,"32353,9"
Ярославский,1267,"87,49","9,29",95,"28,33","0,07",70.0,"29,94","0,58",43,"7,84","0,48",54.0,"51,55","6,1",,,
Ясенево,1117,"40,65","1,59",111,"1,38","0,12",72.0,"83,03","3,12",41,"17,18","0,13",72.0,"16,65","2,2",178264.0,798.0,"4103,9"
